عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی,دسته_بازبینی
دادگاه,20482,2330,role,رئیس دادگاه (0.79),واژه‌ی جدید,role
دادنامه,10656,2286,concept,دادرسی (0.76),واژه‌ی جدید,concept
شماره,9150,2269,object,شماره پرونده (0.84),واژه‌ی جدید,object
صادر,6725,2249,role,صادرکننده (0.77),واژه‌ی جدید,role
صادره,5704,2114,role,صادرکننده (0.73),واژه‌ی جدید,role
عمومی,5575,2095,object,خدمات عمومی (0.74),واژه‌ی جدید,object
اینکه,6870,2065,object,قضیه (0.67),واژه‌ی جدید,REMOVE
خواسته,6402,2026,object,طلب (0.77),واژه‌ی جدید,object
خواهان,11578,2020,object,طلب (0.75),واژه‌ی جدید,object
اعلام,6194,2013,object,اعلامیه حراج (0.75),واژه‌ی جدید,object
استان,4292,2006,concept,شرکت (0.65),واژه‌ی جدید,concept
نظر,6230,2004,role,صاحب‌نظر (0.77),واژه‌ی جدید,REMOVE
قابل,3598,2002,concept,قابل اجرا بودن (0.72),واژه‌ی جدید,REMOVE
دادنامه شماره,3611,1968,object,شماره پرونده (0.75),واژه‌ی جدید,object
آقای,9126,1961,role,نویسنده (0.71),واژه‌ی جدید,role
نسبت به,5016,1910,concept,نسبت (0.78),واژه‌ی جدید,concept
مستشار,2280,1906,role,مشاور (0.80),واژه‌ی جدید,role
رئیس,3004,1871,role,رئیس دادگاه (0.79),واژه‌ی جدید,role
خصوص,4153,1864,concept,طی شرایط خاص (0.70),واژه‌ی جدید,REMOVE
دادگاه عمومی,3597,1858,role,دیوان عدالت اداری (0.77),واژه‌ی جدید,role
توجه,4741,1844,principle,احتیاط (0.78),واژه‌ی جدید,principle
قطعی,2394,1831,concept,احکام قطعی (0.81),واژه‌ی جدید,concept
روز,2934,1818,object,رکورد (0.55),واژه‌ی جدید,object
نماید,4911,1817,object,تبصره (0.61),واژه‌ی جدید,REMOVE
تجدیدنظر استان,3354,1806,concept,تجدیدنظر (0.83),واژه‌ی جدید,concept
در خصوص,3697,1797,principle,طبق قانون (0.74),واژه‌ی جدید,REMOVE
توجه به,4350,1795,principle,احتیاط (0.77),واژه‌ی جدید,principle
خوانده,8736,1783,object,تعرفه (0.60),واژه‌ی جدید,object
تهران,8117,1764,role,شهرداری (0.60),واژه‌ی جدید,role
طرفیت,3152,1753,action,تبعیت (0.70),واژه‌ی جدید,REMOVE
ابلاغ,2923,1747,action,استعلام (0.67),واژه‌ی جدید,action
ضمن,3217,1723,principle,طبق قانون (0.73),واژه‌ی جدید,REMOVE
دادگاه تجدیدنظر,2661,1721,role,دیوان عدالت اداری (0.78),واژه‌ی جدید,role
با توجه,4079,1717,principle,طبق قانون (0.73),واژه‌ی جدید,principle
استناد,3503,1714,action,ارجاع (0.76),واژه‌ی جدید,action
به طرفیت,2996,1711,role,بی‌طرف (0.67),واژه‌ی جدید,role
بوده,5652,1709,object,بلیت (0.59),واژه‌ی جدید,REMOVE
وارد,3144,1697,action,واردات (0.74),واژه‌ی جدید,action
حقوقی,3932,1696,concept,شخص حقوقی (0.80),واژه‌ی جدید,concept
مورخ,5239,1675,action,تقویم (0.66),واژه‌ی جدید,action
به اینکه,3486,1655,concept,علت (0.68),واژه‌ی جدید,concept
ظرف,2206,1648,concept,ظرفیت (0.65),واژه‌ی جدید,REMOVE
استان تهران,3123,1643,role,مجلس شورای اسلامی (0.60),واژه‌ی جدید,role
موجب,3430,1638,concept,سبب (0.79),واژه‌ی جدید,concept
تاریخ,6177,1633,object,رکورد (0.68),واژه‌ی جدید,object
قطعی است,1685,1609,concept,احکام قطعی (0.70),واژه‌ی جدید,concept
مورد,5210,1603,object,نمونه (0.71),واژه‌ی جدید,REMOVE
خانم,4991,1601,concept,شخص (0.69),واژه‌ی جدید,concept
عدم,4956,1599,action,عدم حضور (0.77),واژه‌ی جدید,REMOVE
حکم به,3170,1593,object,حکم (0.85),واژه‌ی جدید,object
شعبه,5860,1560,object,شعبه دادگاه (0.79),واژه‌ی جدید,object
صدور,3932,1551,concept,اطلاق (0.73),واژه‌ی جدید,concept
مواد,3212,1547,role,مصالح (0.68),واژه‌ی جدید,role
به خواسته,2155,1537,object,طلب (0.71),واژه‌ی جدید,object
الف,6246,1499,role,مضمون (0.63),واژه‌ی جدید,REMOVE
محتویات,2157,1481,role,مضمون (0.70),واژه‌ی جدید,role
جهت,3768,1450,concept,جهت‌گیری (0.81),واژه‌ی جدید,REMOVE
موضوع,3533,1434,object,قضیه (0.74),واژه‌ی جدید,object
مذکور,3785,1425,object,یادداشت (0.69),واژه‌ی جدید,object
نظر به,2366,1409,role,صاحب‌نظر (0.73),واژه‌ی جدید,role
صادره از,2114,1404,action,صادر کردن گواهی (0.68),واژه‌ی جدید,action
به دادنامه,1797,1404,concept,دادرسی (0.72),واژه‌ی جدید,concept
محترم,2806,1402,role,صاحب‌حق (0.70),واژه‌ی جدید,REMOVE
به موجب,2544,1388,principle,طبق قانون (0.77),واژه‌ی جدید,principle
عمومی حقوقی,2310,1382,principle,حقوق عمومی (0.81),واژه‌ی جدید,principle
بیست,1839,1361,role,مباشر (0.62),واژه‌ی جدید,REMOVE
محتویات پرونده,1911,1360,object,پرونده (0.79),واژه‌ی جدید,object
نمی,3284,1358,concept,غیرمستقل (0.58),واژه‌ی جدید,REMOVE
با وکالت,2820,1351,concept,وکالت (0.80),واژه‌ی جدید,concept
می نماید,2596,1323,role,موصی له (0.67),واژه‌ی جدید,REMOVE
حضوری,1490,1310,action,عدم حضور (0.74),واژه‌ی جدید,action
وی,3643,1298,role,شاهد (0.63),واژه‌ی جدید,REMOVE
ابلاغ قابل,1509,1296,concept,قابل اجرا بودن (0.67),واژه‌ی جدید,concept
تجدیدنظرخواه,2737,1269,concept,تجدیدنظر (0.89),alias پیشنهادی برای «تجدیدنظر»,concept
گردد,2758,1260,object,عین (0.57),واژه‌ی جدید,REMOVE
داشته,3546,1250,role,صاحب‌نظر (0.63),واژه‌ی جدید,REMOVE
طرفین,3147,1248,principle,بی‌طرفی (0.68),واژه‌ی جدید,principle
نیست,2314,1239,action,نفی (0.65),واژه‌ی جدید,REMOVE
تشخیص,1846,1233,action,ارزیابی (0.71),واژه‌ی جدید,action
به استناد,2030,1219,principle,طبق قانون (0.77),واژه‌ی جدید,principle
بیست روز,1492,1212,object,هفتگی (0.54),واژه‌ی جدید,object
شرح,2416,1183,action,تفسیر (0.68),واژه‌ی جدید,REMOVE
مستنداً,1832,1175,principle,طبق قانون (0.74),واژه‌ی جدید,principle
صدور حکم,2066,1159,action,صادر کردن حکم (0.91),alias پیشنهادی برای «صادر کردن حکم»,action
شود,2662,1156,action,حصول (0.61),واژه‌ی جدید,REMOVE
مستنداً به,1790,1156,principle,طبق قانون (0.75),واژه‌ی جدید,principle
مبنی,1938,1149,principle,لحاظ (0.66),واژه‌ی جدید,REMOVE
صورت,2470,1132,object,وجه (0.78),واژه‌ی جدید,REMOVE
ندارد,2092,1124,action,عدم حضور (0.69),واژه‌ی جدید,REMOVE
